,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor
0,35,83,1389,26506000.0,2,0.0,0.0,1.0,2,4
1,35,49,1380,23265000.0,1,0.0,0.0,1.0,1,1
2,35,50,1383,30000000.0,1,0.0,1.0,1.0,3,3
3,35,53,1378,26415000.0,1,0.0,0.0,0.0,2,4
4,35,42,1400,40000000.0,1,1.0,0.0,1.0,3,4
5,35,37,1382,24865000.0,1,0.0,0.0,1.0,0,0
6,35,86,1398,36977000.0,2,1.0,1.0,1.0,1,1
7,35,60,1395,33333000.0,1,1.0,1.0,1.0,1,1
8,35,62,1396,26290000.0,1,1.0,0.0,1.0,1,4
9,35,38,1381,21579000.0,1,0.0,1.0,1.0,0,0
10,35,62,1388,29032000.0,1,1.0,1.0,1.0,4,4
11,35,74,1399,34865000.0,2,1.0,1.0,1.0,3,3
12,35,50,1381,22800000.0,1,0.0,0.0,1.0,2,2
13,35,45,1383,24444000.0,1,0.0,0.0,1.0,3,3
14,35,59,1400,37119000.0,1,1.0,0.0,1.0,4,4
15,35,78,1381,34615000.0,2,0.0,0.0,1.0,1,4
16,54,135,1400,37037000.0,3,1.0,1.0,1.0,5,5
17,35,86,1388,29070000.0,2,0.0,0.0,1.0,2,2
18,35,48,1379,25000000.0,1,0.0,0.0,0.0,3,3
19,35,42,1378,23452000.0,1,0.0,0.0,1.0,3,4
20,35,84,1398,35714000.0,2,1.0,1.0,1.0,1,1
21,35,53,1383,21887000.0,1,0.0,0.0,1.0,3,3
22,35,39,1380,24359000.0,1,0.0,1.0,1.0,0,0
23,35,30,1376,25667000.0,0,0.0,0.0,1.0,0,0
24,35,60,1390,30833000.0,2,1.0,1.0,0.0,4,4
25,35,62,1392,43548000.0,2,1.0,1.0,1.0,3,4
26,35,38,1381,25000000.0,1,0.0,1.0,1.0,0,0
27,35,74,1382,18919000.0,2,0.0,0.0,1.0,4,4
28,35,51,1380,32353000.0,1,0.0,1.0,1.0,3,3
29,35,46,1388,25435000.0,1,0.0,0.0,1.0,3,4
30,35,86,1397,34884000.0,2,1.0,1.0,1.0,3,5
31,35,75,1395,36000000.0,2,1.0,1.0,1.0,5,5
32,35,85,1398,38824000.0,2,1.0,1.0,1.0,1,1
33,35,75,1398,36667000.0,2,1.0,1.0,1.0,5,5
34,35,103,1370,23981000.0,2,0.0,0.0,0.0,2,4
35,35,49,1383,22245000.0,1,0.0,0.0,1.0,3,4
36,35,78,1378,25000000.0,1,0.0,0.0,1.0,1,1
37,35,45,1371,26222000.0,1,0.0,0.0,1.0,3,3
38,35,55,1387,22727000.0,1,0.0,0.0,1.0,4,4
39,35,50,1383,34000000.0,1,0.0,1.0,1.0,1,1
40,35,33,1380,27879000.0,1,0.0,0.0,0.0,2,4
41,35,35,1383,28429000.0,1,0.0,0.0,1.0,0,3
42,35,45,1371,26222000.0,1,0.0,0.0,1.0,3,3
43,35,54,1383,19815000.0,1,0.0,0.0,1.0,0,4
44,35,83,1400,27711000.0,2,1.0,0.0,1.0,1,1
45,35,37,1381,24865000.0,1,0.0,1.0,1.0,0,4
46,35,49,1380,23265000.0,1,0.0,0.0,1.0,1,1
47,35,55,1390,32727000.0,1,1.0,1.0,0.0,5,5
48,35,86,1400,33721000.0,2,1.0,1.0,1.0,3,3
49,35,54,1377,27778000.0,1,0.0,0.0,1.0,2,2
50,35,52,1381,20962000.0,1,0.0,0.0,1.0,0,0
51,35,49,1385,23265000.0,1,0.0,0.0,1.0,2,4
52,35,70,1400,39286000.0,2,1.0,1.0,1.0,2,4
53,35,53,1376,28302000.0,1,0.0,0.0,1.0,2,3
54,35,50,1381,26000000.0,1,0.0,0.0,1.0,3,4
55,35,65,1387,18462000.0,2,0.0,0.0,1.0,4,4
56,35,50,1382,22000000.0,1,0.0,0.0,1.0,2,4
57,35,65,1375,21538000.0,1,0.0,0.0,1.0,3,4
58,35,74,1380,27027000.0,2,0.0,1.0,1.0,3,3
59,35,68,1381,28676000.0,2,0.0,1.0,1.0,2,4
60,35,85,1399,35882000.0,2,1.0,1.0,1.0,1,5
61,35,34,1380,18529000.0,1,0.0,0.0,1.0,0,-1
62,35,75,1382,19133000.0,2,0.0,0.0,1.0,3,4
63,35,33,1380,28182000.0,1,0.0,0.0,0.0,2,3
64,35,57,1380,22719000.0,1,0.0,0.0,1.0,1,1
65,35,45,1380,22000000.0,1,0.0,0.0,1.0,3,3
66,35,75,1385,29333000.0,2,0.0,1.0,1.0,3,3
67,35,55,1389,28182000.0,1,0.0,0.0,1.0,0,3
68,35,46,1388,25435000.0,1,0.0,0.0,1.0,3,4
69,35,52,1379,26923000.0,1,0.0,0.0,0.0,2,4
70,35,70,1400,35714000.0,2,1.0,1.0,1.0,3,3
71,35,58,1375,15517000.0,1,0.0,0.0,0.0,3,3
